 
TOMS708_PRB1
 
 
   Java version
 
 
 
    X     Y           W              W1
 
 
  0.01  0.99    6.475485e-08    9.999999e-01
  0.02  0.98    2.361298e-06    9.999976e-01
  0.03  0.97    1.873401e-05    9.999813e-01
  0.04  0.96    7.957536e-05    9.999204e-01
  0.05  0.95    2.399660e-04    9.997600e-01
  0.06  0.94    5.825500e-04    9.994175e-01
  0.07  0.93    1.217443e-03    9.987826e-01
  0.08  0.92    2.279701e-03    9.977203e-01
  0.09  0.91    3.924933e-03    9.960751e-01
  0.10  0.90    6.323646e-03    9.936764e-01
  0.11  0.89    9.654819e-03    9.903452e-01
  0.12  0.88    1.409919e-02    9.859008e-01
  0.13  0.87    1.983263e-02    9.801674e-01
  0.14  0.86    2.701988e-02    9.729801e-01
  0.15  0.85    3.580893e-02    9.641911e-01
  0.16  0.84    4.632620e-02    9.536738e-01
  0.17  0.83    5.867262e-02    9.413274e-01
  0.18  0.82    7.292064e-02    9.270794e-01
  0.19  0.81    8.911229e-02    9.108877e-01
  0.20  0.80    1.072581e-01    8.927419e-01
  0.21  0.79    1.273371e-01    8.726629e-01
  0.22  0.78    1.492974e-01    8.507026e-01
  0.23  0.77    1.730579e-01    8.269421e-01
  0.24  0.76    1.985099e-01    8.014901e-01
  0.25  0.75    2.255205e-01    7.744795e-01
  0.26  0.74    2.539351e-01    7.460649e-01
  0.27  0.73    2.835809e-01    7.164191e-01
  0.28  0.72    3.142709e-01    6.857291e-01
  0.29  0.71    3.458069e-01    6.541931e-01
  0.30  0.70    3.779838e-01    6.220162e-01
  0.31  0.69    4.105931e-01    5.894069e-01
  0.32  0.68    4.434263e-01    5.565737e-01
  0.33  0.67    4.762781e-01    5.237219e-01
  0.34  0.66    5.089498e-01    4.910502e-01
  0.35  0.65    5.412514e-01    4.587486e-01
  0.36  0.64    5.730046e-01    4.269954e-01
  0.37  0.63    6.040445e-01    3.959555e-01
  0.38  0.62    6.342210e-01    3.657790e-01
  0.39  0.61    6.634005e-01    3.365995e-01
  0.40  0.60    6.914668e-01    3.085332e-01
  0.41  0.59    7.183211e-01    2.816789e-01
  0.42  0.58    7.438826e-01    2.561174e-01
  0.43  0.57    7.680886e-01    2.319114e-01
  0.44  0.56    7.908935e-01    2.091065e-01
  0.45  0.55    8.122687e-01    1.877313e-01
  0.46  0.54    8.322014e-01    1.677986e-01
  0.47  0.53    8.506936e-01    1.493064e-01
  0.48  0.52    8.677610e-01    1.322390e-01
  0.49  0.51    8.834317e-01    1.165683e-01
  0.50  0.50    8.977444e-01    1.022556e-01
 
TOMS708_PRB1
 
 
   Normal end of execution.
OSX> 
